timestamp,edges_intersection_rate,lci_intersection_rate,median_intersection_rate,uci_intersection_rate,matched_paths,total_paths
20190121,0.8505050505050505,0.7862121212121211,0.8505050505050505,0.9058512677798392,4188.0,4950.0
20190123,0.9793856936714079,0.9242070707070708,0.9793856936714079,0.9997979797979798,4838.0,4950.0
20190128,0.6699999999999999,0.5806969696969697,0.6699999999999999,0.7582921047206761,3305.5,4950.0
20190129,0.9389123290222192,0.8770151515151515,0.9389123290222192,0.979540404040404,4603.5,4950.0
20190130,0.8479797979797981,0.7718737373737373,0.8479797979797981,0.9285023767159112,4178.5,4950.0
20190220,0.9318346732632448,0.8697727272727274,0.9318346732632448,0.9768939393939393,4577.5,4950.0
20190225,0.9274259531991491,0.8511125541125542,0.9274259531991491,0.9766818181818181,4555.5,4950.0
20190226,0.9776370266944641,0.9370454545454546,0.9776370266944641,1.0,4828.0,4950.0
20190227,0.9512327355184498,0.8992041847041847,0.9512327355184498,0.9893929086786228,4687.5,4950.0
20190228,0.9130076272933416,0.8283888888888888,0.9130076272933416,0.9751717171717171,4465.5,4950.0
20190303,0.7865656565656565,0.673520202020202,0.7865656565656565,0.8661111111111112,3878.0,4950.0
20190304,0.8806431663574521,0.8048745619459906,0.8806431663574521,0.9541955266955267,4278.5,4950.0
20190306,0.7794042465471037,0.6881060606060606,0.7794042465471037,0.8563990929705215,3827.5,4950.0
20190311,0.8372606774668631,0.7596320346320347,0.8372606774668631,0.9027103689960833,4106.5,4950.0
20190312,0.98,0.9399819624819624,0.98,1.0,4850.5,4950.0
20190313,0.952020202020202,0.8961904761904762,0.952020202020202,0.9973737373737374,4682.0,4950.0
20190314,0.9818346732632447,0.9418318903318903,0.9818346732632447,1.0,4846.0,4950.0
20190317,0.7866542980828695,0.6616919191919193,0.7866542980828695,0.8798499278499278,3862.5,4950.0
