timestamp,edges_intersection_rate,matched_paths,total_paths
20200409,0.9878566964041569,12969454,13128882
20200412,0.8707591480265056,11441150,13139282
20200413,0.9440281453099337,12376175,13109964
20200415,0.9777590763528867,12826664,13118430
20200420,0.9763544653791388,12816773,13127172
20200421,0.9833417316728617,12908912,13127595
20200422,0.9967411057264712,13084066,13126845
20200423,0.9947856926576745,14140234,14214352
20200426,0.8450254843582077,11092876,13127268
20200427,0.9390281168626405,13287261,14150014
20200429,0.9788485313769205,13861893,14161428
20200504,0.9385327631303916,13290600,14161040
20200505,0.9843202122668037,13923423,14145217
20200506,0.9625100271038332,13619899,14150397
20200507,0.996137219617873,14096027,14150688
20200510,0.8317895088235913,11755840,14133191
20200511,0.937499375999949,13239924,14122595
20200513,0.8934504765412662,12618403,14123226
20200518,0.9415349344930587,13394179,14225897
20200519,0.9886168429418585,14063647,14225579
20200520,0.9973376841795961,14187712,14225585
20200521,0.9817494565587592,13965925,14225549
20200524,0.8260630624634563,11778497,14258593
20200525,0.9253543575899368,13184026,14247543
20200527,0.9793514380807082,15027570,15344410
20200601,0.8870361852353893,12646796,14257362
20200602,0.9851514434328857,14040204,14251823
20200603,0.9960811953862654,14195945,14251795
20200604,0.7284750716183597,8782435,12055917
20200610,0.7602671005816024,7499502,9864299
20200615,0.9727027614001322,12795863,13154957
20200616,0.9790778033647403,15007846,15328553
20200617,0.9956398024742775,15261599,15328434
20200618,0.9979756542247796,15297379,15328409
20200621,0.894082158167883,13704857,15328409
20200622,0.9348408207856513,15354710,16424946
20200624,0.8956948924496185,13729609,15328444
20200629,0.9683698444552244,14833957,15318483
20200630,0.9153904496827591,15024806,16413549
20200701,0.9907089246963258,16249478,16401869
20200702,0.989715367853332,16233741,16402434
20200705,0.8108424458478533,13299797,16402443
20200706,0.9485563339807872,15547176,16390356
20200708,0.9735778771370188,15957288,16390356
20200713,0.9744362170158252,15960245,16378953
