timestamp,edges_intersection_rate,lci_intersection_rate,median_intersection_rate,uci_intersection_rate,matched_paths,total_paths
20190121,1.0,0.9948434343434344,1.0,1.0,4945.0,4950.0
20190123,0.9986745001030715,0.9858585858585859,0.9986745001030715,1.0,4939.0,4950.0
20190128,0.9705050505050505,0.9371825396825397,0.9705050505050505,0.9937676767676767,4787.5,4950.0
20190129,0.9911234796949082,0.9736212121212122,0.9911234796949082,0.9984898989898989,4886.5,4950.0
20190130,0.976837765409194,0.9476666666666667,0.976837765409194,0.9916406926406925,4808.0,4950.0
20190220,0.8662358276643991,0.7992608740465883,0.8662358276643991,0.9125959595959595,4246.0,4950.0
20190225,1.0,0.9919191919191919,1.0,1.0,4943.5,4950.0
20190226,1.0,1.0,1.0,1.0,4950.0,4950.0
20190227,1.0,0.9878686868686869,1.0,1.0,4950.0,4950.0
20190228,1.0,0.998469696969697,1.0,1.0,4950.0,4950.0
20190303,0.9985858585858586,0.985343228200371,0.9985858585858586,1.0,4918.5,4950.0
20190304,0.9998989898989898,0.9968261183261183,0.9998989898989898,1.0,4947.0,4950.0
20190306,0.9949494949494949,0.9856565656565657,0.9949494949494949,0.9997960214388786,4909.5,4950.0
20190311,0.973309493759641,0.9532394936106277,0.973309493759641,0.9907474747474747,4787.5,4950.0
20190312,0.996969696969697,0.9868039133179045,0.996969696969697,1.0,4881.5,4950.0
20190313,0.9917542774685632,0.9776717171717172,0.9917542774685632,0.9977878787878788,4880.5,4950.0
20190314,0.9957142857142858,0.9839242424242425,0.9957142857142858,0.9992979797979797,4908.0,4950.0
20190317,0.982020202020202,0.9591635745207173,0.982020202020202,0.993969696969697,4817.5,4950.0
20190318,0.9973737373737374,0.98989898989899,0.9973737373737374,1.0,4926.5,4950.0
20190428,0.9412121212121212,0.9155454545454546,0.9412121212121212,0.9660858585858585,4642.5,4950.0
20190429,1.0,0.9991759431045145,1.0,1.0,4950.0,4950.0
20190501,0.9996949082663369,0.9963919820974313,0.9996949082663369,1.0,4947.0,4950.0
20190506,0.9930612244897958,0.9798989898989899,0.9930612244897958,0.9990873015873015,4907.0,4950.0
